postcode,Delivery_speed,Delivery_option,Parcel_size,DPD_pred_price,Menzies_pred_price,My_Hermes_pred_price,Parcel_force_pred_price,TNT_Pred_Price,Yodel_pred_price,DPD_actual_price,Menzies_actual_price,My_Hermes_actual_price,Parcel_force_actual_price,TNT_actual_price,Yodel_actual_price,Average_price,Median_price,Average_pred_price,Difference_actual_pred_price,Difference_actual_Pred_Price_per,ur2,ur3,ur6,ur8,pop2011,areahect,popdensity2011,islands2016,ca_name,popden_dis,postcode_sector
AB10 1UY,next-day,door-to-door,large,,,,55.22,38.11,,,,,62,57.85,,59.92,59.92,46.665,13.26,0.284045859,1,1,1,1,2284,73,31.28767204,0,Aberdeen City,47.53347778,AB10 1
AB10 1UY,next-day,door-to-door,medium,21.74,,,21.74,15,,15.49,,,27.8,17.45,,20.25,17.45,19.49333333,0.75,0.038816689,1,1,1,1,2284,73,31.28767204,0,Aberdeen City,47.53347778,AB10 1
AB10 1UY,next-day,door-to-door,small,11.31,,,11.31,7.8,,7.49,,,13.9,9.22,,10.2,9.22,10.14,0.06,0.00591716,1,1,1,1,2284,73,31.28767204,0,Aberdeen City,47.53347778,AB10 1
AB10 1UY,next-day,shop drop-off,large,,,,50.43,,,,,,59.5,,,59.5,59.5,50.43,9.07,0.179853262,1,1,1,1,2284,73,31.28767204,0,Aberdeen City,47.53347778,AB10 1
AB10 1UY,next-day,shop drop-off,medium,,,,19.85,,,,,,25.3,,,25.3,25.3,19.85,5.45,0.274559194,1,1,1,1,2284,73,31.28767204,0,Aberdeen City,47.53347778,AB10 1
AB10 1UY,next-day,shop drop-off,small,,,,10.33,,,,,,11.4,,,11.4,11.4,10.33,1.07,0.103581801,1,1,1,1,2284,73,31.28767204,0,Aberdeen City,47.53347778,AB10 1
AB10 1UY,standard,door-to-door,large,,,,47.32,,,,,,52,,,52,52,47.32,4.68,0.098901099,1,1,1,1,2284,73,31.28767204,0,Aberdeen City,47.53347778,AB10 1
AB10 1UY,standard,door-to-door,medium,,12.57,,18.63,,10.56,,9.39,,24,,7.99,13.79,9.39,13.92,-0.13,-0.00933908,1,1,1,1,2284,73,31.28767204,0,Aberdeen City,47.53347778,AB10 1
AB10 1UY,standard,door-to-door,small,,6.54,,9.69,,5.49,,9.39,,10.1,,6.99,8.83,9.39,7.24,1.59,0.21961326,1,1,1,1,2284,73,31.28767204,0,Aberdeen City,47.53347778,AB10 1
AB10 1UY,standard,shop drop-off,large,,,,43.22,,,,,,49.5,,,49.5,49.5,43.22,6.28,0.1453031,1,1,1,1,2284,73,31.28767204,0,Aberdeen City,47.53347778,AB10 1
AB10 1UY,standard,shop drop-off,medium,,,6.72,17.01,,,,,7.48,21.5,,,14.49,14.49,11.865,2.63,0.221238938,1,1,1,1,2284,73,31.28767204,0,Aberdeen City,47.53347778,AB10 1
AB10 1UY,standard,shop drop-off,small,8.85,,3.49,8.85,,5.01,5.99,,3.38,7.6,,4.74,5.43,5.36,6.55,-1.13,-0.170992366,1,1,1,1,2284,73,31.28767204,0,Aberdeen City,47.53347778,AB10 1
AB10 6NY,next-day,door-to-door,large,,,,55.22,38.11,,,,,62,57.85,,59.92,59.92,46.665,13.26,0.284045859,1,1,1,1,10737,166,64.6807251,0,Aberdeen City,47.53347778,AB10 6
AB10 6NY,next-day,door-to-door,medium,21.74,,,21.74,15,,15.49,,,27.8,17.45,,20.25,17.45,19.49333333,0.75,0.038816689,1,1,1,1,10737,166,64.6807251,0,Aberdeen City,47.53347778,AB10 6
AB10 6NY,next-day,door-to-door,small,11.31,,,11.31,7.8,,7.49,,,13.9,9.22,,10.2,9.22,10.14,0.06,0.00591716,1,1,1,1,10737,166,64.6807251,0,Aberdeen City,47.53347778,AB10 6
AB10 6NY,next-day,shop drop-off,large,,,,50.43,,,,,,59.5,,,59.5,59.5,50.43,9.07,0.179853262,1,1,1,1,10737,166,64.6807251,0,Aberdeen City,47.53347778,AB10 6
AB10 6NY,next-day,shop drop-off,medium,,,,19.85,,,,,,25.3,,,25.3,25.3,19.85,5.45,0.274559194,1,1,1,1,10737,166,64.6807251,0,Aberdeen City,47.53347778,AB10 6
AB10 6NY,next-day,shop drop-off,small,,,,10.33,,,,,,11.4,,,11.4,11.4,10.33,1.07,0.103581801,1,1,1,1,10737,166,64.6807251,0,Aberdeen City,47.53347778,AB10 6
AB10 6NY,standard,door-to-door,large,,,,47.32,,,,,,52,,,52,52,47.32,4.68,0.098901099,1,1,1,1,10737,166,64.6807251,0,Aberdeen City,47.53347778,AB10 6
AB10 6NY,standard,door-to-door,medium,,12.57,,18.63,,10.56,,9.39,,24,,7.99,13.79,9.39,13.92,-0.13,-0.00933908,1,1,1,1,10737,166,64.6807251,0,Aberdeen City,47.53347778,AB10 6
AB10 6NY,standard,door-to-door,small,,6.54,,9.69,,5.49,,9.39,,10.1,,6.99,8.83,9.39,7.24,1.59,0.21961326,1,1,1,1,10737,166,64.6807251,0,Aberdeen City,47.53347778,AB10 6
AB10 6NY,standard,shop drop-off,large,,,,43.22,,,,,,49.5,,,49.5,49.5,43.22,6.28,0.1453031,1,1,1,1,10737,166,64.6807251,0,Aberdeen City,47.53347778,AB10 6
AB10 6NY,standard,shop drop-off,medium,,,6.72,17.01,,,,,7.48,21.5,,,14.49,14.49,11.865,2.63,0.221238938,1,1,1,1,10737,166,64.6807251,0,Aberdeen City,47.53347778,AB10 6
AB10 6NY,standard,shop drop-off,small,8.85,,3.49,8.85,,5.01,5.99,,3.38,7.6,,4.74,5.43,5.36,6.55,-1.13,-0.170992366,1,1,1,1,10737,166,64.6807251,0,Aberdeen City,47.53347778,AB10 6
AB10 7GT,next-day,door-to-door,large,,,,55.22,38.11,,,,,62,57.85,,59.92,59.92,46.665,13.26,0.284045859,1,1,1,1,8987,224,40.1205368,0,Aberdeen City,47.53347778,AB10 7
AB10 7GT,next-day,door-to-door,medium,21.74,,,21.74,15,,15.49,,,27.8,17.45,,20.25,17.45,19.49333333,0.75,0.038816689,1,1,1,1,8987,224,40.1205368,0,Aberdeen City,47.53347778,AB10 7
AB10 7GT,next-day,door-to-door,small,11.31,,,11.31,7.8,,7.49,,,13.9,9.22,,10.2,9.22,10.14,0.06,0.00591716,1,1,1,1,8987,224,40.1205368,0,Aberdeen City,47.53347778,AB10 7
AB10 7GT,next-day,shop drop-off,large,,,,50.43,,,,,,59.5,,,59.5,59.5,50.43,9.07,0.179853262,1,1,1,1,8987,224,40.1205368,0,Aberdeen City,47.53347778,AB10 7
AB10 7GT,next-day,shop drop-off,medium,,,,19.85,,,,,,25.3,,,25.3,25.3,19.85,5.45,0.274559194,1,1,1,1,8987,224,40.1205368,0,Aberdeen City,47.53347778,AB10 7
AB10 7GT,next-day,shop drop-off,small,,,,10.33,,,,,,11.4,,,11.4,11.4,10.33,1.07,0.103581801,1,1,1,1,8987,224,40.1205368,0,Aberdeen City,47.53347778,AB10 7
AB10 7GT,standard,door-to-door,large,,,,47.32,,,,,,52,,,52,52,47.32,4.68,0.098901099,1,1,1,1,8987,224,40.1205368,0,Aberdeen City,47.53347778,AB10 7
AB10 7GT,standard,door-to-door,medium,,12.57,,18.63,,10.56,,9.39,,24,,7.99,13.79,9.39,13.92,-0.13,-0.00933908,1,1,1,1,8987,224,40.1205368,0,Aberdeen City,47.53347778,AB10 7
AB10 7GT,standard,door-to-door,small,,6.54,,9.69,,5.49,,9.39,,10.1,,6.99,8.83,9.39,7.24,1.59,0.21961326,1,1,1,1,8987,224,40.1205368,0,Aberdeen City,47.53347778,AB10 7
