average_price,difference_actual_pred_price,postcode_sector
59.919998,13.26,AB10 1
59.919998,13.26,AB10 6
59.919998,13.26,AB10 7
38.98,-7.6900001,AB11 5
59.919998,13.26,AB11 6
38.98,-7.6900001,AB11 7
59.919998,13.26,AB11 8
59.919998,13.26,AB11 9
38.98,-7.6900001,AB12 3
59.919998,12.61,AB12 4
59.919998,12.44,AB12 5
59.919998,13.26,AB12 9
59.919998,12.61,AB13 0
59.919998,12.61,AB14 0
59.919998,13.26,AB15 4
59.919998,13.26,AB15 5
59.919998,13.26,AB15 6
59.919998,13.26,AB15 7
59.919998,12.61,AB15 8
38.98,-7.6900001,AB15 9
59.919998,13.26,AB16 5
59.919998,13.26,AB16 6
59.919998,13.26,AB16 7
59.919998,12.61,AB21 0
38.98,-7.6900001,AB21 7
59.919998,13.26,AB21 9
59.919998,13.26,AB22 8
59.919998,12.44,AB23 8
59.919998,13.26,AB24 1
59.919998,13.26,AB24 2
59.919998,13.26,AB24 3
59.919998,13.26,AB24 4
59.919998,13.26,AB24 5
59.919998,13.26,AB25 1
59.919998,13.26,AB25 2
59.919998,13.26,AB25 3
59.919998,12.44,AB30 1
59.919998,8.8299999,AB31 4
59.919998,12.61,AB31 5
59.919998,12.44,AB31 6
59.919998,13.07,AB32 6
38.98,-8.5100002,AB32 7
59.919998,8.8299999,AB33 8
59.919998,8.8299999,AB34 4
59.919998,8.8299999,AB34 5
59.919998,1.39,AB35 5
59.919998,8.8299999,AB36 8
59.919998,8.8299999,AB37 9
59.919998,12.44,AB38 7
59.919998,12.44,AB38 9
59.919998,13.07,AB39 2
59.919998,12.44,AB39 3
38.98,-8.5100002,AB39 8
59.919998,13.07,AB39 9
59.919998,12.44,AB41 6
38.98,-8.5100002,AB41 7
59.919998,12.44,AB41 8
59.919998,13.07,AB41 9
59.919998,12.44,AB42 0
59.919998,13.07,AB42 1
59.919998,13.07,AB42 2
59.919998,12.44,AB42 3
59.919998,12.44,AB42 4
59.919998,12.44,AB42 5
59.919998,12.44,AB43 6
59.919998,12.44,AB43 7
59.919998,12.44,AB43 8
59.919998,13.07,AB43 9
59.919998,11.04,AB44 1
59.919998,11.04,AB45 1
59.919998,8.8299999,AB45 2
38.98,-12.12,AB45 3
59.919998,12.44,AB51 0
59.919998,13.07,AB51 1
38.98,-7.8800001,AB51 3
59.919998,13.07,AB51 4
38.98,-8.5100002,AB51 5
38.98,-7.8800001,AB51 6
59.919998,12.44,AB51 7
38.98,-8.5100002,AB51 8
59.919998,8.8299999,AB52 6
59.919998,11.04,AB53 4
59.919998,12.44,AB53 5
59.919998,12.44,AB53 6
59.919998,12.44,AB53 8
59.919998,8.8299999,AB54 4
59.919998,12.44,AB54 6
59.919998,8.8299999,AB54 7
59.919998,11.04,AB54 8
59.919998,8.8299999,AB55 4
59.919998,11.04,AB55 5
59.919998,8.8299999,AB55 6
59.919998,11.04,AB56 1
59.919998,8.8299999,AB56 4
59.919998,12.44,AB56 5
59.919998,11.04,AB56 9
38.98,-7.6900001,DD1 1N
38.98,-7.6900001,DD1 2Q
38.98,-7.6900001,DD1 3A
59.919998,13.26,DD1 4H
38.98,-7.6900001,DD1 5Q
59.919998,13.26,DD1 9T
59.919998,12.44,DD10 0
59.919998,13.07,DD10 1
59.919998,13.07,DD10 8
59.919998,12.44,DD10 9
38.98,-7.8800001,DD11 1
59.919998,13.07,DD11 2
38.98,-8.5100002,DD11 3
59.919998,13.07,DD11 4
59.919998,13.07,DD11 5
59.919998,13.07,DD11 9
38.98,-7.6900001,DD2 1P
59.919998,13.26,DD2 2P
38.98,-7.6900001,DD2 3B
38.98,-7.6900001,DD2 4U
38.98,-8.5100002,DD2 5S
59.919998,13.26,DD2 9B
38.98,-7.6900001,DD3 0N
38.98,-7.6900001,DD3 6T
38.98,-7.6900001,DD3 7P
38.98,-7.6900001,DD3 8B
59.919998,13.26,DD3 9L
59.919998,12.44,DD4 0P
38.98,-7.6900001,DD4 6S
59.919998,13.26,DD4 7E
38.98,-7.6900001,DD4 8N
59.919998,13.26,DD4 9J
59.919998,13.26,DD5 1A
38.98,-7.6900001,DD5 2Q
59.919998,13.26,DD5 3H
38.98,-7.6900001,DD5 4T
59.919998,12.61,DD6 8P
59.919998,12.61,DD6 9B
38.98,-7.8800001,DD7 6B
59.919998,13.07,DD7 7Q
59.919998,13.07,DD8 0S
59.919998,13.07,DD8 1B
38.98,-8.5100002,DD8 2S
59.919998,13.07,DD8 3W
59.919998,12.61,DD8 4H
59.919998,12.44,DD8 5N
59.919998,12.61,DD9 6L
59.919998,12.44,DD9 7P
59.919998,12.61,DG1 1X
