latitude,longitude,postcode_sector
55.957378,-3.1696999,EH7 5
56.069889,-3.4615901,KY12 7
55.849339,-2.3810401,TD11 3
54.95903,-3.9771299,DG7 2
55.409359,-2.6189201,TD9 8
56.953529,-4.50913,PH20 1
56.3269,-3.3575301,PH2 9
57.093391,-4.74371,PH35 4
57.56028,-2.6287799,AB54 7
55.994148,-3.47281,EH30 9
56.215729,-2.77899,KY10 2
56.36552,-3.49262,PH2 0
57.149849,-2.09376,AB24 5
56.053719,-3.3018501,KY3 0
56.619011,-3.8684399,PH15 2
56.178108,-4.3786802,FK8 3
57.04142,-3.1775,AB35 5
56.009521,-2.8589001,EH32 0
56.690529,-2.7832601,DD8 3
56.332619,-3.31141,PH2 9
56.467289,-3.2049799,PH14 9
56.31966,-3.6499901,PH3 1
57.96225,-6.99368,HS3 3
55.492062,-3.69204,ML12 6
57.075878,-2.7920799,AB34 5
57.38625,-4.4042802,IV3 8
55.957981,-3.9486001,G67 3
59.136059,-3.2353301,KW17 2
57.070148,-7.2954102,HS8 5
56.781239,-5.95504,PH36 4
56.600899,-6.58637,PA78 6
57.43261,-6.1985102,IV51 9
56.648651,-5.2556701,PA38 4
55.93985,-5.5568299,PA31 8
56.44743,-5.3845201,PA37 1
58.49279,-3.4545901,KW12 6
58.167309,-6.56214,HS2 9
57.61021,-4.9271998,IV23 2
57.718391,-4.2772002,IV17 0
56.0387,-5.2040801,PA22 3
56.804901,-5.1217499,PH33 6
57.98,-4.4211402,IV27 4
56.83532,-5.1436,PH33 7
56.749611,-5.8038402,PH36 4
58.460079,-4.1869998,KW14 7
56.570129,-4.02563,PH15 2
58.293362,-3.31183,KW3 6
57.918839,-4.0766902,IV25 3
58.364632,-3.40382,KW5 6
58.315941,-3.25999,KW3 6
57.98019,-5.3002501,IV26 2
57.00164,-4.3175702,PH20 1
57.994511,-5.3144002,IV26 2
58.304131,-4.9054098,IV27 4
58.071918,-4.43466,IV27 4
57.881599,-5.5557499,IV22 2
58.493759,-3.8975101,KW13 6
57.057652,-6.5008202,PH44 4
58.01495,-5.3383698,IV26 2
57.57497,-4.6073198,IV14 9
58.517929,-4.22086,KW14 7
57.507092,-3.9388399,IV12 5
57.965889,-4.40097,IV27 4
58.544239,-3.45663,KW12 6
58.54517,-4.4500899,IV27 4
57.418839,-5.4292302,IV54 8
57.388691,-5.59587,IV54 8
56.530209,-6.20544,PA73 6
56.433151,-5.2332401,PA35 1
57.555439,-4.7947302,IV6 7
56.889629,-4.7918,PH31 4
58.425629,-5.00103,IV27 4
58.168362,-5.3035102,IV27 4
57.915279,-5.3378801,IV23 2
57.34166,-5.5647602,IV53 8
58.531799,-4.2992301,KW14 7
58.23159,-5.3372502,IV27 4
56.94632,-5.0015702,PH34 4
57.10762,-5.98489,IV46 8
57.224621,-4.62467,IV63 7
56.5116,-5.4937801,PA34 5
57.702671,-4.2108698,IV18 0
56.201778,-5.1301198,PA32 8
56.736721,-6.1500702,PH36 4
57.94772,-4.5062399,IV27 4
57.326481,-3.7039299,PH26 3
56.332001,-6.21596,PA67 6
58.542549,-4.44136,IV27 4
58.07938,-4.45612,IV27 4
56.02544,-5.56602,PA31 8
57.31757,-5.64676,IV52 8
57.576672,-5.0815601,IV22 2
57.47974,-5.3340902,IV54 8
58.557129,-3.5836699,KW14 7
56.725578,-6.1788301,PH36 4
58.312981,-3.31549,KW3 6
56.562012,-5.7411699,PA80 5
58.57666,-3.6903701,KW14 7
58.439919,-4.9897199,IV27 4
58.03405,-3.8536601,KW9 6
58.550049,-3.5741401,KW14 7
57.438389,-6.2092199,IV51 9
57.600868,-4.5296302,IV14 9
58.528622,-4.2785602,KW14 7
58.496552,-4.4596601,IV27 4
58.460098,-3.1133201,KW1 4
58.473129,-3.1015999,KW1 4
55.899071,-4.3051801,G20 0
58.48978,-6.2314601,HS2 0
55.876579,-3.53211,EH54 9
55.842548,-3.6161499,EH55 8
55.847462,-3.60835,EH55 8
55.772491,-2.7587199,TD2 6
57.01968,-2.5536499,AB31 6
57.389,-3.461,PH26 3
55.187061,-3.59601,DG1 1
55.165279,-3.5543499,DG1 3
57.301891,-2.2256801,AB21 0
55.39439,-4.17943,KA18 4
57.646759,-7.2697601,HS6 5
58.20924,-6.2796302,HS2 0
59.348572,-2.9619801,KW17 2
58.803532,-2.9414501,KW17 2
56.145302,-5.5983701,PA31 8
57.477718,-6.34232,IV51 9
58.247372,-6.16465,HS2 0
54.899529,-4.9703898,DG9 8
57.034069,-5.97085,IV45 8
57.912441,-4.3209901,IV24 3
55.866039,-3.98089,ML6 6
55.883301,-3.95205,ML6 7
55.591091,-5.4682298,PA28 6
56.44096,-5.2523098,PA35 1
58.246971,-6.33216,HS2 0
58.53038,-4.2772698,KW14 7
56.638302,-3.11676,DD8 5
56.50251,-3.4648399,PH1 4
57.083359,-5.7649698,IV43 8
56.068489,-3.77018,FK2 8
56.146431,-3.9089,FK9 4
57.189159,-7.4052701,HS8 5
59.116211,-2.6162801,KW17 2
60.284908,-1.38389,ZE2 9
60.05666,-1.2100101,ZE2 9
56.198189,-3.15079,KY7 5
57.58215,-4.3987899,IV7 8
56.750889,-3.7981701,PH16 5
57.448681,-1.88767,AB42 0
56.08633,-4.6368799,G83 8
55.987949,-4.5823598,G83 0
57.231899,-2.70206,AB33 8
56.852009,-5.6999402,PH38 4
57.006329,-3.44227,AB35 5
55.79694,-3.8439,ML7 5
55.985901,-3.9263101,FK4 2
55.73558,-2.90134,TD1 2
55.682339,-2.8046899,TD1 2
55.783588,-2.21703,TD11 3
55.800308,-3.83394,ML7 5
55.76527,-4.0022898,ML3 7
56.86253,-2.2974401,DD10 0
56.996521,-7.50383,HS9 5
57.564548,-5.62146,IV22 2
56.116032,-3.7917399,FK10 1
55.431019,-4.6360402,KA7 4
57.227821,-5.4031601,IV40 8
57.31118,-5.4840298,IV40 8
56.890789,-4.9154301,PH34 4
57.236481,-4.5581102,IV63 7
55.065689,-3.4186201,DG11 1
56.419621,-3.5165901,PH1 3
55.958698,-3.3931,EH29 9
55.882648,-3.51406,EH54 6
57.695499,-4.2497301,IV17 0
57.664719,-4.2403498,IV7 8
55.90691,-3.16713,EH16 6
58.056679,-5.4186802,IV26 2
57.968239,-4.5458498,IV24 3
57.115601,-2.0781801,AB12 3
58.562962,-3.2267201,KW1 4
58.281219,-4.44276,IV27 4
55.619331,-4.5028901,KA3 1
57.598461,-3.1846099,IV30 8
56.1903,-4.4751801,FK8 3
57.517769,-4.14678,IV2 7
56.152969,-3.8027201,FK12 5
57.64077,-3.45488,IV30 8
57.158291,-3.87837,PH22 1
56.62191,-3.2297499,PH11 8
57.887089,-4.55369,IV24 3
55.129131,-3.5711401,DG1 3
56.510479,-3.7899401,PH8 0
57.31881,-3.60394,PH26 3
56.708408,-5.5625801,PH36 4
57.618092,-5.3084898,IV22 2
57.712299,-5.6804099,IV21 2
58.49873,-6.2325401,HS2 0
55.513691,-2.5911,TD8 6
59.37883,-2.4207201,KW17 2
55.863091,-4.2725101,G3 8
58.223148,-6.40417,HS2 0
57.132671,-7.3820901,HS8 5
57.447891,-6.7072601,IV55 8
54.98732,-3.2618001,DG12 6
56.35067,-5.1803198,PA35 1
57.529202,-5.52491,IV22 2
55.910542,-4.0383501,ML5 2
55.47715,-4.5204401,KA6 5
55.890049,-4.3278699,G13 1
57.47662,-6.29144,IV51 9
57.472309,-2.1075699,AB41 8
56.224861,-2.6965201,KY10 3
56.22279,-2.7005301,KY10 3
56.222069,-2.7042899,KY10 3
57.766621,-7.0210099,HS5 3
56.03553,-3.81352,FK5 4
54.880619,-4.2111502,DG7 2
56.88842,-4.9449301,PH34 4
59.041519,-3.1924601,KW17 2
56.562439,-5.3597298,PA38 4
57.433609,-5.81317,IV54 8
55.146721,-3.4058001,DG11 1
55.448792,-2.76299,TD9 8
57.255001,-2.42696,AB51 5
57.752682,-4.0153399,IV19 1
56.5546,-2.6512101,DD11 2
56.56234,-2.58408,DD11 1
56.869438,-2.33248,AB30 1
57.543308,-4.50741,IV6 7
57.542141,-4.5253701,IV6 7
56.050789,-2.7962899,EH39 5
57.48127,-3.2828801,AB38 7
58.013939,-3.8706501,KW9 6
58.00172,-4.24436,IV28 3
56.295059,-6.2442298,PA67 6
57.443062,-1.98409,AB42 5
56.373901,-5.1025901,PA35 1
57.356869,-5.6066298,IV54 8
56.266411,-5.51261,PA34 4
57.396019,-5.6024499,IV54 8
55.642399,-6.1096802,PA42 7
55.850739,-5.0630698,PA20 0
56.343102,-5.1241999,PA33 1
57.84956,-5.0787601,IV23 2
56.462292,-5.2958102,PA37 1
56.29274,-6.2272,PA67 6
56.260799,-5.2597499,PA35 1
57.864449,-4.3361902,IV24 3
56.29277,-4.2878699,FK17 8
56.430321,-4.3916101,FK21 8
57.399719,-5.8183398,IV54 8
57.28458,-6.0150199,IV49 9
57.284679,-5.53264,IV40 8
55.807259,-4.3302302,G46 8
56.025902,-4.6345201,G83 8
57.409519,-4.4813299,IV4 7
56.359032,-5.5028601,PA34 4
56.042858,-4.9093599,PA23 8
56.495159,-4.1644802,FK21 8
57.5686,-4.0366001,IV2 7
56.700089,-5.6686602,PH36 4
57.854069,-5.2837501,IV23 2
56.181049,-5.5364599,PA31 8
55.875771,-5.9024301,PA60 7
55.80143,-6.0110998,PA60 7
56.188221,-4.7835999,G83 7
57.881989,-4.36339,IV24 3
57.880058,-4.3719501,IV24 3
57.91935,-6.8533401,HS3 3
57.58123,-7.4148402,HS6 5
57.539108,-5.7070899,IV54 8
56.109741,-5.5639601,PA31 8
56.242828,-5.6247702,PA34 4
57.843399,-5.1016798,IV23 2
57.25975,-5.5914602,IV40 8
57.652229,-2.2111001,AB43 6
56.486038,-3.0160501,DD2 3
56.563461,-3.1998999,PH12 8
56.2999,-4.7203498,G83 7
57.93383,-5.1963701,IV26 2
55.893372,-5.8801098,PA60 7
55.67403,-5.7410498,PA41 7
56.7878,-5.7427602,PH38 4
57.845612,-4.1875401,IV19 1
57.392872,-7.3337698,HS8 5
55.979221,-4.94275,PA23 8
58.02026,-5.3964,IV26 2
57.51144,-4.4768801,IV6 7
57.36219,-5.5114799,IV53 8
56.69569,-5.5911498,PH36 4
57.442471,-2.2611001,AB41 7
55.95216,-4.6217198,G82 5
57.487438,-2.9107101,AB54 4
57.336712,-2.5747399,AB52 6
56.02879,-4.8617301,G84 0
56.016788,-5.44912,PA30 8
57.399979,-6.5380201,IV55 8
57.73745,-4.32616,IV17 0
55.640579,-4.8144999,KA22 8
56.741489,-5.78723,PH36 4
56.04253,-6.2646198,PA61 7
57.80191,-6.8663998,HS3 3
56.526958,-4.1119099,PH15 2
56.76453,-5.8741999,PH36 4
57.322929,-6.42874,IV47 8
56.327301,-6.2349901,PA67 6
56.23214,-5.5493999,PA34 4
57.639149,-4.3719602,IV16 9
57.85614,-4.2220998,IV19 1
57.06015,-5.9050002,IV45 8
56.95451,-4.4598498,PH20 1
57.776211,-6.9133701,HS3 3
57.99519,-6.7585802,HS3 3
54.770729,-4.9411201,DG9 9
56.79327,-5.8579998,PH36 4
56.32552,-6.3396702,PA66 6
56.623669,-6.52668,PA78 6
56.909351,-5.8445702,PH39 4
